Overnight (Midnight -> 6am),https://docs.google.com/presentation/d/e/2PACX-1vTdztXtuCkQZsRHUzDx8yv6GgR5LbGO9elXFuF_7BsegzzDQ7ssMP87ecJeJe9PvW22s0YDcKgXteQ-/pub?start=true&loop=true&delayms=3000,Overnight (Midnight -> 6am)
DN!,https://docs.google.com/presentation/d/e/2PACX-1vQf6wjrMFdJXTg4OASFUooOm3lWh97vikiU2YZrSHIvZBXTmOx9JY1nOJHy3vLiE6JCzFeR41RbdQhO/pub?start=true&loop=true&delayms=3000,DN!
Morning Mag,https://docs.google.com/presentation/d/e/2PACX-1vT5R49ombgPTbSSYVH1L5tc1ThsC1ZRkcsXLGufcHqFruEBPqdtoJRT0Yg6s4idQq1z3yiWGO9y2tCg/pub?start=true&loop=true&delayms=3000,Morning Mag
APA,https://docs.google.com/presentation/d/e/2PACX-1vQW2m0XgUxSt71sBZRNoxHrMSdXb4CjxY9SxYP6rEE9UiH90If7u1Jitc4n66_b8FBZLk0EfrtwJS0E/pub?start=true&loop=true&delayms=3000,APA
MSA,https://docs.google.com/presentation/d/e/2PACX-1vRl034U-VBjGkJxiACsa7IW6BDsBJheciskoIC0rO6TlZDm1s4v8ycfTY6hfNaCF-IMlVp0vJtHqMmt/pub?start=true&loop=true&delayms=3000,MSA
ASA,https://docs.google.com/presentation/d/e/2PACX-1vS3aqAkYrrwcsRwbOqW1We1rgM96ms6FHes7LARq3kcZ-OznKTGVzUjOjGqWNzKtxFEOH6NIhRTQDS8/pub?start=true&loop=true&delayms=3000,ASA
Metro,https://docs.google.com/presentation/d/e/2PACX-1vTrFVfENlE1KxfiUy66KAzQIdM7JviARtIu6s9koiNiGbBU3-GenSLltNWNF6Wfc2DkSF2B9Jx49eUS/pub?start=true&loop=true&delayms=3000,Metro
PM News (3:30 - 6pm),https://docs.google.com/presentation/d/e/2PACX-1vTi2y9nGzQvJan5WMcuBhpZToT2mbO1uXradN4-ysbp__OmcNX-eq0mK2vIiKte_WkIxbf4WmFf0LEt/pub?start=true&loop=true&delayms=3000,PM News (3:30 - 6pm)
Alternative Radio,https://docs.google.com/presentation/d/e/2PACX-1vQyce7lS7MbQHrzt-0TSxzfAugT5Qj23bA5r31aOKUdyctSb-Ls3zkyb0mUGZDmP6JB_eVMxDiaPYfg/pub?start=true&loop=true&delayms=3000,Alternative Radio
Seolta Gael,https://docs.google.com/presentation/d/e/2PACX-1vSL2Dgo7ABdIR46NgrvXJ62EincHHiC3qsou7tf6nGVSlhiHIM-yxzrIAXOEOfhKf-m2oIULfvr2of2/pub?start=true&loop=true&delayms=3000,Seolta Gael
Mundi,https://docs.google.com/presentation/d/e/2PACX-1vRq8PqfbqmB59eSXvkwcAhJ3pYx219okd1PQXZq5XttZ1C5o8Yr2pwnsMLfE7SPwC1Qub6lsWSRkAlV/pub?start=true&loop=true&delayms=3000,Mundi
Reggae Transfusion,https://docs.google.com/presentation/d/e/2PACX-1vSSIO8q6fN6vqEIhCAq2mYVw8t5nCzTnmgUORu0eEO4rh7l7EGuf7qH3MAnPmdnEt3o_9bl93Hrcxth/pub?start=true&loop=true&delayms=3000,Reggae Transfusion