Slps - Rstls,https://docs.google.com/presentation/d/e/2PACX-1vQ35lxS5KqIw9graRdUCQt53cltD8q2lFdi5xRpBAozItPhD3DghrSM5Swx6oV1bd4D5OHnFn4w-6WG/pub?start=true&loop=true&delayms=3000,Slps - Rstls
Honky Tonk,https://docs.google.com/presentation/d/e/2PACX-1vQlNMWSnYzmQcIvp1kzdPPqKOaO5TuAOVgY0xRqDXakQKZ1M4HhNnhDaEY4d4ZK5VGvGNKRFmv7cDuG/pub?start=true&loop=true&delayms=3000,Honky Tonk
Bluegrass,https://docs.google.com/presentation/d/e/2PACX-1vSqAYEKf8OJ59WkjVDWNQaLzZzoEqklj_GY1i0LkXb10ROCZhF24zE6M3R3zXqJFZ3Sboa_zBgs7saj/pub?start=true&loop=true&delayms=3000,Bluegrass
Terrsonic,https://docs.google.com/presentation/d/e/2PACX-1vSXyZsI5TbrSTr_Gf3gWajVBig2HrXDRLv3tGURQWjl1AT9EUHY6q6Up12-tHpZ_od58BvUpTM6ALZx/pub?start=true&loop=true&delayms=3000,Terrsonic
Reggae Bloodlines,https://docs.google.com/presentation/d/e/2PACX-1vRLmQcVhVGhrwLMNdzWIrxcd0GDgP29bJh90HImwTjRrSJc7TNoKv3zgPfbs8Lw4t2ZUVTDvQtfQ19S/pub?start=true&loop=true&delayms=3000,Reggae Bloodlines
African Roots,https://docs.google.com/presentation/d/e/2PACX-1vTwvU1QCZsxW0LQQXNw8uH7Fu9SEloHUIE0GXTaGJa8bdvu0MbvM3nsSjIO5J4wkpSWJV1VNwa2M747/pub?start=false&loop=false&delayms=3000,African Roots
BBC,https://docs.google.com/presentation/d/1Yd7GGqipXn2jNQEVknuNIU4ZM9ZB6pqTCXr4pT_-2eY/edit,BBC
Sound Lab,https://docs.google.com/presentation/d/1wJPj9lVyT4i-J5jKvM9bUBhut1CtSIB6EqQlLNmX-hs/edit,Sound Lab
Dead Special or Hour,https://docs.google.com/presentation/d/1WQic-QEhELkPmtwu2UhgbY0VQ4jbUQlciyDaIBPR8BM/edit#slide=id.g22fa67b60f_5_7,Dead Special or Hour
Electronic Air,https://docs.google.com/presentation/d/e/2PACX-1vSVC5o8s5gIULpXCyglsLrsO2JQcNor6ZfvODyZimpbntJ1DRGHhTomWU3yES5bIJnD_Kvp9SWb-2cw/pub?start=true&loop=true&delayms=3000,Electronic Air
Floorboards,https://docs.google.com/presentation/d/e/2PACX-1vT_9t58WO6QzpJmZPN7sF1mqdOWLA9PucRJhBll0I8sXdLsF6RwFlAeyMnlPyXPECcDUqRhsBDp9R4V/pub?start=true&loop=true&delayms=3000,Floorboards