,,
,,
Slps + Rstls + AM News,https://docs.google.com/presentation/d/e/2PACX-1vTOYlmVY9fFYxPpPE4f9th6xCTuB5v_8wHEeACezZm11KD3oYMl9bLwZ71zac2Ff3zXqNob5i064WVf/pub?start=false&loop=false&delayms=3000,Slps + Rstls + AM News
DN!,https://docs.google.com/presentation/d/e/2PACX-1vTgIi1FtuyyACzevhfs2AQ-Z25j5XB8FhKOIXjHKABi79iPpoxS4byShl3vHBGNPZ1qWwKUYNj873_S/pub?start=false&loop=false&delayms=3000,DN
Morning Mag,https://docs.google.com/presentation/d/e/2PACX-1vS5pWKz6HHL31Cj6MqShWyFnfuDoDEZ8kTdXC8k7g5nEGydwqrXWwW8KnFQM1Q19nHXjrUtKhk4d_oP/pub?start=false&loop=false&delayms=3000,Morning Mag
Connections,https://docs.google.com/presentation/d/e/2PACX-1vSPk6atXMdRa00ZDmAaKx8kAZ7Yv1lD9jK31uycfb_hUi5EqgCgh_YnkUVqRSbIb7WCJx1Imofla_h_/pub?start=false&loop=false&delayms=3000,Connections
MSA,https://docs.google.com/presentation/d/e/2PACX-1vTodOZnZRFp6EZN_jJYpxktFNhxU6ZLkquiC6UfrkO9vL7v9yFFOPo4yEJhu36HqdpUn9rIS_-SO2_Y/pub?start=false&loop=false&delayms=3000,MSA
ASA,https://docs.google.com/presentation/d/e/2PACX-1vROV1hbkeWudp4-QMxvUH4nE4SYCZYyi9CzDopqS-eBh3nkKiIu4YT_23Rrfowh35sACekGaCXqLf4J/pub?start=true&loop=true&delayms=3000,ASA
Metro,https://docs.google.com/presentation/d/e/2PACX-1vSbHnrGe4GsT9oVgtm5e5KJWi9PsvZhC8vg5Jp14oxuA4OLwOyZK3Vhf30weF0e4nvifLSdubpK1-Kr/pub?start=true&loop=true&delayms=3000,Metro
PM News,https://docs.google.com/presentation/d/e/2PACX-1vTSN7jlvJ36mL1aiB17U5ZEDAK57fOP5ZUbGqKzbenuJkPIuticyNNQt-kb44A4qR4PmNm2pmC_HeXM/pub?start=true&loop=true&delayms=3000,PM News
Blues,https://docs.google.com/presentation/d/e/2PACX-1vTtpK7yqyjBcmvZNua2KQ_2ulmDq4apYFVJn4onufAovvtECOwJkGBIJAPBDN-udMVuLdRq6s9BeOVZ/pub?start=true&loop=true&delayms=3000,Blues
Dusty Grooves,https://docs.google.com/presentation/d/e/2PACX-1vTjaPuZi_YNsflwFcIr3XwOAKo61Vw071D9qTY2i1bW8Pn0oGy_2zJeJZto3V4hG07tpzrGU7wUIYtX/pub?start=true&loop=true&delayms=3000,Dusty Grooves
Smash It Back,https://docs.google.com/presentation/d/e/2PACX-1vTMiNOu30KVv1KLHlYFIgc8bWfJusreBid7vioAP-2GpGgZhueVFZIBK2cEv5Qx3969PHLfIz2kdOMP/pub?start=true&loop=true&delayms=3000,Smash It Back